i,time,loss,ce,kl,accuracy
247900,27066.71275615692,0.14075246453285217,0.06961353868246078,0.8076652884483337,0.9747499227523804
248000,27077.286036491394,0.15622809529304504,0.08866672217845917,0.7670480608940125,0.9722500443458557
248100,27087.98096871376,0.16297197341918945,0.08381197601556778,0.8987313508987427,0.9777500629425049
248200,27098.49095225334,0.12803208827972412,0.053240250796079636,0.849138081073761,0.9737499356269836
248300,27109.1027302742,0.12894248962402344,0.062487274408340454,0.754489541053772,0.9755000472068787
248400,27119.62256836891,0.137635737657547,0.0660877600312233,0.8123095631599426,0.965749979019165
248500,27130.33757185936,0.1454767882823944,0.07126843929290771,0.8425136208534241,0.9782499670982361
248600,27140.862828969955,0.11967058479785919,0.04976818338036537,0.7936267256736755,0.9752499461174011
248700,27151.69811439514,0.164088636636734,0.09295447170734406,0.807611346244812,0.9750000238418579
248800,27162.231721639633,0.16085021197795868,0.09142003953456879,0.7882652282714844,0.9735000729560852
248900,27172.914263486862,0.12688519060611725,0.05907006934285164,0.769929051399231,0.9707499742507935
249000,27183.571511268616,0.12523411214351654,0.05592619255185127,0.7868772745132446,0.9720001220703125
249100,27194.424561023712,0.13384884595870972,0.06624259054660797,0.7675576210021973,0.9769999980926514
249200,27205.115924596786,0.1424773633480072,0.07445649802684784,0.7722650170326233,0.9732500314712524
249300,27215.973700523376,0.1301313191652298,0.05396877974271774,0.864700198173523,0.9747499823570251
249400,27226.420125246048,0.14426535367965698,0.07321856915950775,0.8066191673278809,0.9744999408721924
249500,27237.108910560608,0.14439132809638977,0.06868413835763931,0.8595304489135742,0.9767499566078186
249600,27247.65107512474,0.2416149079799652,0.05509769916534424,2.117595672607422,0.9744999408721924
249700,27258.368483781815,0.15395420789718628,0.04478846490383148,1.2393971681594849,0.9735000133514404
249800,27268.810378313065,0.18068981170654297,0.09767702966928482,0.9424735307693481,0.9750000238418579
249900,27279.649002075195,0.12429341673851013,0.04910328611731529,0.8536600470542908,0.9765000343322754
250000,27290.172640800476,0.14928291738033295,0.06813366711139679,0.9213160872459412,0.9735000133514404
250100,27301.019541740417,0.12606674432754517,0.056836970150470734,0.7859899997711182,0.9742500185966492
250200,27311.54641675949,0.1787918210029602,0.09485065937042236,0.9530136585235596,0.971750020980835
250300,27322.221966028214,0.1672699749469757,0.0963732972741127,0.8049150109291077,0.9780000448226929
250400,27332.606767416,0.1390792280435562,0.06898703426122665,0.7957814335823059,0.971750020980835
250500,27343.31394481659,0.18698665499687195,0.1145363599061966,0.822553813457489,0.9787499904632568
250600,27353.742435455322,0.12615780532360077,0.05315786600112915,0.8287941217422485,0.9790000915527344
250700,27364.34794998169,0.1633060872554779,0.09284968674182892,0.7999165058135986,0.9785000085830688
250800,27374.89450287819,0.1295889914035797,0.058215998113155365,0.8103227615356445,0.9802499413490295
250900,27385.501642227173,0.16039733588695526,0.09037548303604126,0.7949828505516052,0.9737500548362732
251000,27395.96659731865,0.13548165559768677,0.06357321888208389,0.8164019584655762,0.9757499098777771
251100,27406.767370462418,0.1315343976020813,0.06148965284228325,0.7952426671981812,0.9704999327659607
251200,27417.36911201477,0.15498629212379456,0.08393646776676178,0.806653618812561,0.9707500338554382
251300,27427.974640846252,0.14998513460159302,0.08041425794363022,0.7898627519607544,0.9762499928474426
251400,27438.48282933235,0.1649623066186905,0.09368380159139633,0.809249997138977,0.9785000085830688
251500,27449.069490671158,0.1396503895521164,0.0673154816031456,0.8212437629699707,0.9744999408721924
251600,27459.408533096313,0.1256123185157776,0.05804186314344406,0.7671513557434082,0.9647499918937683
251700,27469.981067419052,0.14771489799022675,0.0718953087925911,0.8608065843582153,0.9807499647140503
251800,27480.36907529831,0.14446787536144257,0.0734248012304306,0.8065771460533142,0.984499990940094
251900,27491.233978033066,0.158744215965271,0.08060992509126663,0.8870860934257507,0.9767499566078186
252000,27501.808098316193,0.15518754720687866,0.08540351688861847,0.7922826409339905,0.9822499752044678
252100,27512.609100341797,0.12236177176237106,0.05623527616262436,0.7507574558258057,0.9807499647140503
252200,27523.089462518692,0.18891584873199463,0.11926592886447906,0.7907600402832031,0.9800000190734863
252300,27534.10444164276,0.16163744032382965,0.09285865724086761,0.7808698415756226,0.9787499904632568
252400,27544.699274778366,0.18231011927127838,0.09632392227649689,0.9762316346168518,0.9832499027252197
252500,27555.432438850403,0.13203230500221252,0.06375642865896225,0.7751601338386536,0.9697500467300415
252600,27565.885823249817,0.1340332180261612,0.059255849570035934,0.84897381067276,0.9785000085830688
252700,27576.734795808792,0.12197229266166687,0.05422743037343025,0.7691313624382019,0.9769999980926514
252800,27587.17745399475,0.12006327509880066,0.04853860288858414,0.8120448589324951,0.9790000915527344
252900,27597.85534954071,0.14434757828712463,0.07617292553186417,0.7740107774734497,0.9752499461174011
253000,27608.41423535347,0.11838904768228531,0.05018512159585953,0.7743432521820068,0.9764999151229858
253100,27619.210505247116,0.14621633291244507,0.07555080205202103,0.802290678024292,0.9814999103546143
253200,27629.83253622055,0.15931686758995056,0.08777770400047302,0.8122094869613647,0.984250009059906
253300,27640.534271478653,0.10801313817501068,0.04056791216135025,0.7657294869422913,0.9742500185966492
253400,27651.151201486588,0.15551063418388367,0.08916963636875153,0.7531927227973938,0.9744999408721924
253500,27661.968626976013,0.16423848271369934,0.08913365751504898,0.8526915907859802,0.9707499742507935
253600,27672.57327723503,0.1286821961402893,0.06009303405880928,0.7787169218063354,0.9744999408721924
253700,27683.309234142303,0.1349138766527176,0.06853281706571579,0.7536475658416748,0.9827499389648438
253800,27693.914544820786,0.14092183113098145,0.07143783569335938,0.7888762950897217,0.9807500243186951
253900,27704.660302877426,0.1404455602169037,0.059755247086286545,0.9161056876182556,0.984499990940094
254000,27715.092352628708,0.1177411675453186,0.04931838810443878,0.7768279910087585,0.9800000190734863
254100,27725.83221268654,0.13039615750312805,0.061630845069885254,0.7807167768478394,0.9757499694824219
254200,27736.37538766861,0.12703973054885864,0.06085742637515068,0.7513909935951233,0.9757499694824219
254300,27747.107533693314,0.14145854115486145,0.07248742878437042,0.7830533385276794,0.9802499413490295
254400,27757.577377319336,0.12926265597343445,0.05760028958320618,0.8136082291603088,0.9627500176429749
254500,27768.288418769836,0.13235731422901154,0.06087101250886917,0.8116092085838318,0.9814999103546143
254600,27778.76650571823,0.12598633766174316,0.05940896272659302,0.755876362323761,0.9794999957084656
254700,27789.53944182396,0.11865511536598206,0.04822273924946785,0.7996436953544617,0.9712499380111694
254800,27800.05253458023,0.1439746767282486,0.07213792949914932,0.8155879974365234,0.9802499413490295
254900,27810.702517271042,0.12281045317649841,0.05426901578903198,0.7781751155853271,0.9760000109672546
255000,27821.338177919388,0.09727369993925095,0.030313044786453247,0.7602279186248779,0.9707499742507935
255100,27832.258380413055,0.15240216255187988,0.0830998569726944,0.7868134379386902,0.9742499589920044
255200,27842.802570343018,0.13980510830879211,0.06899984180927277,0.8038772344589233,0.971750020980835
255300,27853.754712581635,0.1264612078666687,0.06040611118078232,0.7499468326568604,0.9730000495910645
255400,27864.34207344055,0.11166805028915405,0.0436285138130188,0.7724769115447998,0.9747499823570251
255500,27875.099848270416,0.1802348643541336,0.11131908744573593,0.7824251651763916,0.9820000529289246
255600,27885.60746526718,0.10974980890750885,0.042808447033166885,0.7600089311599731,0.9749999046325684
255700,27896.51690554619,0.2140551060438156,0.1391788274049759,0.8500968217849731,0.9742500185966492
255800,27907.0533452034,0.11338931322097778,0.04893488436937332,0.7317739129066467,0.9767499566078186
255900,27917.8352329731,0.13092705607414246,0.06597665697336197,0.7374048233032227,0.9787499308586121
256000,27928.30151295662,0.15004119277000427,0.0804491862654686,0.7901026010513306,0.9677500128746033
256100,27939.058283805847,0.15953931212425232,0.08496259152889252,0.8466958999633789,0.9785000085830688
256200,27949.538946151733,0.1269514262676239,0.056509774178266525,0.7997490167617798,0.9727499485015869
256300,27960.248458623886,0.13964298367500305,0.06699497997760773,0.8247985243797302,0.9769999980926514
256400,27970.85279083252,0.12494418025016785,0.05751185491681099,0.7655829191207886,0.9730000495910645
256500,27981.536565303802,0.18359903991222382,0.1128123551607132,0.8036662340164185,0.9644999504089355
256600,27992.158167123795,0.11344869434833527,0.04343836382031441,0.7948519587516785,0.9737499952316284
256700,28003.0466401577,0.14524978399276733,0.07269565016031265,0.8237327933311462,0.9822499752044678
256800,28013.5871860981,0.1365337073802948,0.06878166645765305,0.7692128419876099,0.9752499461174011
256900,28024.289386987686,0.13362373411655426,0.05879838392138481,0.8495185971260071,0.9777499437332153
257000,28034.834795713425,0.1417873203754425,0.07577674090862274,0.7494415044784546,0.9757500290870667
257100,28045.64338374138,0.13090433180332184,0.05730040743947029,0.8356512784957886,0.9817500114440918
