i,time,loss,ce,kl,accuracy,prec
319200,1705856804.1984117,0.21021535992622375,0.061770178377628326,0.14844518899917603,0.983500063419342,0.5899999737739563
319300,1705856814.9272344,0.20829209685325623,0.06880595535039902,0.1394861340522766,0.9757500290870667,0.5
319400,1705856825.5684385,0.20024573802947998,0.059253107756376266,0.14099262654781342,0.9742499589920044,0.46000000834465027
319500,1705856836.2902422,0.20673395693302155,0.06468240916728973,0.1420515477657318,0.9732500314712524,0.4399999976158142
319600,1705856847.0142546,0.18230760097503662,0.03855052962899208,0.14375707507133484,0.9770000576972961,0.5
319700,1705856857.71081,0.2056230753660202,0.054636240005493164,0.15098683536052704,0.9730000495910645,0.44999998807907104
319800,1705856868.528111,0.21509557962417603,0.06625156104564667,0.14884401857852936,0.9815000891685486,0.5799999833106995
319900,1705856879.2459848,0.20043343305587769,0.05925025790929794,0.14118318259716034,0.9662500023841858,0.41999998688697815
320000,1705856889.8474376,0.21729162335395813,0.06974290311336517,0.14754872024059296,0.9772499799728394,0.5299999713897705
320100,1705856900.5696259,0.26225581765174866,0.11481861025094986,0.1474372148513794,0.9790000319480896,0.4699999988079071
320200,1705856911.235114,0.21179457008838654,0.05850379541516304,0.1532907783985138,0.9757499694824219,0.5099999904632568
320300,1705856922.04426,0.21938052773475647,0.0670594722032547,0.15232105553150177,0.9765000939369202,0.49000000953674316
320400,1705856932.892613,0.23453211784362793,0.08709491789340973,0.1474371999502182,0.9764999151229858,0.44999998807907104
320500,1705856943.6181889,0.2118155062198639,0.05580080300569534,0.15601469576358795,0.9772499799728394,0.6000000238418579
320600,1705856954.3271592,0.21204990148544312,0.06513997167348862,0.1469099372625351,0.9787499904632568,0.6100000143051147
320700,1705856964.9769692,0.19626647233963013,0.05469378083944321,0.14157268404960632,0.979249894618988,0.5600000023841858
320800,1705856975.6682608,0.22676238417625427,0.07528538256883621,0.15147700905799866,0.9837499856948853,0.6100000143051147
320900,1705856986.4043825,0.2044118046760559,0.059026800096035004,0.1453849971294403,0.9830000400543213,0.5400000214576721
321000,1705856997.1888664,0.1923273652791977,0.0476267971098423,0.1447005718946457,0.9769999980926514,0.46000000834465027
321100,1705857007.9388342,0.20944343507289886,0.06818781793117523,0.14125561714172363,0.9730000495910645,0.4699999988079071
321200,1705857018.609447,0.24424928426742554,0.09337586164474487,0.15087342262268066,0.9735000729560852,0.5299999713897705
321300,1705857029.3245435,0.23147743940353394,0.06869912892580032,0.1627783179283142,0.9799998998641968,0.5
321400,1705857040.0126667,0.19010254740715027,0.051211126148700714,0.13889142870903015,0.9737499952316284,0.4300000071525574
321500,1705857050.6572082,0.2049994319677353,0.0557870976626873,0.1492123305797577,0.966499924659729,0.4300000071525574
321600,1705857061.3096163,0.19933074712753296,0.05786100775003433,0.14146973192691803,0.9785000681877136,0.5199999809265137
321700,1705857072.1367178,0.2377614676952362,0.07479485124349594,0.16296662390232086,0.9719999432563782,0.3799999952316284
321800,1705857082.8362806,0.20189222693443298,0.058594197034835815,0.14329802989959717,0.9744999408721924,0.44999998807907104
321900,1705857093.629447,0.22697915136814117,0.08049768209457397,0.1464814692735672,0.9757500290870667,0.5299999713897705
322000,1705857104.3156216,0.20811207592487335,0.0663205236196518,0.14179155230522156,0.9775000214576721,0.5199999809265137
322100,1705857114.9893317,0.2051662802696228,0.05594859644770622,0.14921768009662628,0.9725000262260437,0.49000000953674316
322200,1705857125.5709858,0.21927323937416077,0.07110128551721573,0.14817194640636444,0.9754999279975891,0.47999998927116394
322300,1705857136.3118482,0.2295903116464615,0.0818646252155304,0.1477256864309311,0.9772499799728394,0.5099999904632568
322400,1705857147.1154714,0.21887795627117157,0.0754069983959198,0.14347095787525177,0.9722500443458557,0.41999998688697815
322500,1705857157.9403691,0.20607788860797882,0.06432637572288513,0.1417515128850937,0.9764999151229858,0.5299999713897705
322600,1705857168.5501769,0.21629548072814941,0.07388197630643845,0.14241351187229156,0.9702500104904175,0.46000000834465027
322700,1705857179.2947586,0.18707597255706787,0.048000674694776535,0.13907529413700104,0.9744999408721924,0.4399999976158142
322800,1705857189.9219127,0.21018512547016144,0.06694649159908295,0.1432386338710785,0.9772500395774841,0.4699999988079071
322900,1705857200.657858,0.2647654712200165,0.11064641177654266,0.15411905944347382,0.9714999198913574,0.38999998569488525
323000,1705857211.4209216,0.24392174184322357,0.09926144778728485,0.14466029405593872,0.9722499847412109,0.44999998807907104
323100,1705857222.1105533,0.21555107831954956,0.07020271569490433,0.14534835517406464,0.9697499871253967,0.46000000834465027
323200,1705857233.3694885,0.19823607802391052,0.05144917219877243,0.1467868983745575,0.9747500419616699,0.49000000953674316
323300,1705857244.1440248,0.1938270926475525,0.04981599003076553,0.14401111006736755,0.9767499566078186,0.5199999809265137
323400,1705857254.8352358,0.21422937512397766,0.06629721820354462,0.14793215692043304,0.9750000238418579,0.49000000953674316
323500,1705857265.6032417,0.21298262476921082,0.06411933153867722,0.148863285779953,0.9762499928474426,0.49000000953674316
323600,1705857276.288969,0.19586633145809174,0.051035117357969284,0.14483121037483215,0.9745000600814819,0.4300000071525574
323700,1705857287.032565,0.2464888095855713,0.10315416008234024,0.14333464205265045,0.9832499623298645,0.6100000143051147
323800,1705857297.7492354,0.19914580881595612,0.051924217492341995,0.14722159504890442,0.9742499589920044,0.47999998927116394
323900,1705857308.5056517,0.2175457775592804,0.06760647892951965,0.14993929862976074,0.9787499904632568,0.5099999904632568
324000,1705857319.2060115,0.22236761450767517,0.06801339238882065,0.15435421466827393,0.9722500443458557,0.47999998927116394
324100,1705857329.9080136,0.21918359398841858,0.07323408871889114,0.14594951272010803,0.9752499461174011,0.47999998927116394
324200,1705857340.5689454,0.2081419825553894,0.06515076011419296,0.14299121499061584,0.9735000133514404,0.4699999988079071
324300,1705857351.3731468,0.22045132517814636,0.07145944982767105,0.1489918828010559,0.9682499766349792,0.4000000059604645
324400,1705857361.9970229,0.1894228756427765,0.04637295752763748,0.1430499255657196,0.9752500653266907,0.5099999904632568
324500,1705857372.6347082,0.21031829714775085,0.06446633487939835,0.1458519697189331,0.981249988079071,0.550000011920929
324600,1705857383.3392065,0.20200210809707642,0.06145203858613968,0.14055006206035614,0.9767500162124634,0.4699999988079071
324700,1705857394.0141766,0.23407161235809326,0.08383595943450928,0.15023565292358398,0.9750000238418579,0.47999998927116394
324800,1705857404.6987503,0.2229621708393097,0.0784497782588005,0.14451240003108978,0.9794999957084656,0.47999998927116394
324900,1705857415.5349348,0.2071475088596344,0.06764870136976242,0.13949881494045258,0.9772499799728394,0.5299999713897705
325000,1705857426.197071,0.20168274641036987,0.05744107812643051,0.14424166083335876,0.9757500290870667,0.5600000023841858
325100,1705857436.8838277,0.20123422145843506,0.06129118800163269,0.13994303345680237,0.9697499871253967,0.4099999964237213
325200,1705857447.5286875,0.19365106523036957,0.053350795060396194,0.14030027389526367,0.9755000472068787,0.5299999713897705
325300,1705857458.1686616,0.2419174611568451,0.08837451040744781,0.15354295074939728,0.9765000343322754,0.46000000834465027
325400,1705857468.8419905,0.21030664443969727,0.06234373524785042,0.14796291291713715,0.9732500314712524,0.4399999976158142
325500,1705857479.7426412,0.20707742869853973,0.06525363028049469,0.14182379841804504,0.971750020980835,0.4399999976158142
325600,1705857490.3913095,0.26096877455711365,0.10999400913715363,0.15097476541996002,0.9687499403953552,0.46000000834465027
325700,1705857501.0538874,0.21020588278770447,0.06351583451032639,0.14669004082679749,0.9732499718666077,0.47999998927116394
325800,1705857511.7345376,0.19854500889778137,0.053881220519542694,0.14466378092765808,0.9790000319480896,0.5299999713897705
325900,1705857522.4321454,0.21128450334072113,0.06507110595703125,0.14621339738368988,0.9730000495910645,0.4300000071525574
326000,1705857533.1972268,0.18090404570102692,0.04197642207145691,0.13892762362957,0.9754999279975891,0.4699999988079071
326100,1705857543.9010005,0.2031867653131485,0.05639975145459175,0.14678701758384705,0.9737499356269836,0.44999998807907104
326200,1705857554.5188148,0.2129943072795868,0.06786184757947922,0.14513245224952698,0.9744999408721924,0.49000000953674316
326300,1705857565.4362118,0.21634185314178467,0.07020977139472961,0.14613208174705505,0.9742499589920044,0.4099999964237213
326400,1705857576.1179569,0.19733688235282898,0.05658109858632088,0.1407557874917984,0.9700000286102295,0.4300000071525574
326500,1705857586.7779748,0.2356407344341278,0.0876108780503273,0.1480298489332199,0.9782499670982361,0.5
326600,1705857597.5483282,0.195200577378273,0.05500670149922371,0.1401938796043396,0.9744999408721924,0.5
326700,1705857608.2660553,0.2849428653717041,0.1375570297241211,0.147385835647583,0.9732500314712524,0.4399999976158142
326800,1705857618.9089482,0.20625875890254974,0.0654473751783371,0.14081138372421265,0.969499945640564,0.4300000071525574
326900,1705857629.800789,0.22050057351589203,0.07126541435718536,0.14923515915870667,0.9747500419616699,0.44999998807907104
